mask,scenario,utility,improvement,relevance,relevance_delta,provider_disparity,fatigue,cost,intervention_stats
0,nominal,0.36953783749266045,0.0,0.6443234782124422,0.0,0.1630015432098766,0.49104686146278503,0.0,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
1,nominal,0.6768372287261892,0.3072993912335288,0.6067586564882921,-0.0375648217241501,0.11633487654320995,0.0,0.05,"{'repeat_cap_removed': 21583, 'injection_noop': 0}"
2,nominal,0.2993174141295406,-0.07022042336311984,0.6384004394607812,-0.005923038751661003,0.15123456790123457,0.4545312331464334,0.1,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
3,nominal,0.5749054090666118,0.20536757157395136,0.6028739161122585,-0.04144956210018369,0.10945216049382722,0.0,0.15000000000000002,"{'repeat_cap_removed': 19794, 'injection_noop': 0}"
4,nominal,0.31808368593638753,-0.05145415155627292,0.6408626118484717,-0.0034608663639704718,0.14516975308641977,0.45901818722079935,0.08,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
5,nominal,0.5980604620293924,0.228522624536732,0.6073432052029589,-0.036980273009483255,0.10827160493827148,0.0,0.13,"{'repeat_cap_removed': 19822, 'injection_noop': 0}"
6,nominal,0.25356961223131874,-0.1159682252613417,0.6364948484369503,-0.007828629775491924,0.1261651234567902,0.4138233456777357,0.18,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
7,nominal,0.49615092486491874,0.1266130873722583,0.6039160648436149,-0.04040741336882725,0.10645833333333332,0.0,0.23,"{'repeat_cap_removed': 17915, 'injection_noop': 0}"
8,nominal,0.3108356490741182,-0.058702188418542245,0.64374250058616,-0.0005809776262821753,0.158179012345679,0.48961044133949305,0.06,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
9,nominal,0.6166361640983455,0.2470983266056851,0.6059309817151755,-0.038392496497266726,0.11499999999999999,0.0,0.11,"{'repeat_cap_removed': 21569, 'injection_noop': 0}"
10,nominal,0.2314771130096344,-0.13806072448302606,0.6405728298785244,-0.0037506483339178054,0.1533179012345678,0.4645983039226619,0.16,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
11,nominal,0.5153792610593357,0.1458414235666753,0.6043347141516898,-0.03998876406075236,0.10998456790123456,0.0,0.21000000000000002,"{'repeat_cap_removed': 20362, 'injection_noop': 0}"
12,nominal,0.2502059292571324,-0.11933190823552803,0.642983014309193,-0.001340463903249156,0.15521604938271594,0.4683996345990081,0.14,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
13,nominal,0.5378790872556485,0.16834124976298803,0.6080772496894469,-0.036246228522995305,0.10685185185185175,0.0,0.19,"{'repeat_cap_removed': 20359, 'injection_noop': 0}"
14,nominal,0.1771921463345044,-0.19234569115815606,0.6378869465853626,-0.006436531627079578,0.13929012345679004,0.4333103533473186,0.24000000000000002,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
15,nominal,0.4365203544609655,0.06698251696830504,0.6053512431187745,-0.03897223509366765,0.10055555555555551,0.0,0.29000000000000004,"{'repeat_cap_removed': 18903, 'injection_noop': 0}"
16,nominal,0.29631141535450906,-0.07322642213815139,0.6257010427949341,-0.018622435417508076,0.2068827160493827,0.4622765418675156,0.08,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
17,nominal,0.5839205457949693,0.21438270830230888,0.5937907578373168,-0.05053272037512535,0.1218055555555555,0.0,0.13,"{'repeat_cap_removed': 20838, 'injection_noop': 0}"
18,nominal,0.22741245812505956,-0.1421253793676009,0.6237570447655131,-0.0205664334469291,0.19304783950617277,0.4234147339694936,0.18,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
19,nominal,0.4824698531298518,0.11293201563719135,0.5922019655253972,-0.05212151268704501,0.11944444444444446,0.0,0.23,"{'repeat_cap_removed': 19021, 'injection_noop': 0}"
20,nominal,0.24959477308583936,-0.11994306440682109,0.6242561636035349,-0.020067314608907316,0.20640432098765427,0.42360993648899237,0.16,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
21,nominal,0.5054793971476437,0.13594155965498322,0.5959477393901286,-0.04837573882231361,0.11848765432098762,0.0,0.21000000000000002,"{'repeat_cap_removed': 19097, 'injection_noop': 0}"
22,nominal,0.16397230896833576,-0.2055655285243247,0.6303094773477232,-0.014014000864718934,0.16336419753086417,0.41501888479907195,0.26,"{'repeat_cap_removed': 0, 'injection_noop': 1440}"
23,nominal,0.40971495130497004,0.040177113812309595,0.6015831640587872,-0.04274031415365498,0.10418209876543205,0.0,0.31000000000000005,"{'repeat_cap_removed': 18425, 'injection_noop': 1440}"
