point_id,seed,cure_run_dir,action,base_feasible,cost,fatigue_upper,feasible,lower_improvement,mode,provider_disparity_upper,reason,relevance_delta_lower,selected_interventions,selected_mask,status,upper_improvement
baseline,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/baseline/seed-sweep-20260805T184133Z/runs/calibration-baseline-seed-42-20260805T184133Z-28d7474a,repair_selected,False,0.05,0.0,True,0.2985139280765191,repair,0.22587191358024694,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.04413677084635825,"('repeat_cap',)",1,repair_selected,0.3130691025188375
baseline,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/baseline/seed-sweep-20260805T184133Z/runs/calibration-baseline-seed-43-20260805T185217Z-3fcc519a,improve_selected,True,0.05,0.0,True,0.2962023794050887,improvement,0.2027854938271605,Base policy is feasible; selected the exact maximin-improvement portfolio.,-0.029898931403684492,"('repeat_cap',)",1,improve_selected,0.3109911409956607
baseline,44,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/baseline/seed-sweep-20260805T184133Z/runs/calibration-baseline-seed-44-20260805T190250Z-71b3d847,repair_selected,False,0.05,0.0,True,0.29276096362793325,repair,0.21989969135802467,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.04315057993014337,"('repeat_cap',)",1,repair_selected,0.30577479791996376
baseline,45,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/baseline/seed-sweep-20260805T184133Z/runs/calibration-baseline-seed-45-20260805T191326Z-71213096,repair_selected,False,0.05,0.0,True,0.2939286070597903,repair,0.25683641975308635,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.03773408964459812,"('repeat_cap',)",1,repair_selected,0.3137331706529291
baseline,46,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/baseline/seed-sweep-20260805T184133Z/runs/calibration-baseline-seed-46-20260805T192404Z-e73869a3,repair_selected,False,0.05,0.0,True,0.293002483007298,repair,0.21988425925925914,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.036125545165068274,"('repeat_cap',)",1,repair_selected,0.3109411815143742
oat-fatigue_strength-0p7500,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-0p7500/seed-sweep-20260805T193443Z/runs/calibration-oat-fatigue_strength-0p7500-seed-42-20260805T193443Z-6e059a2b,repair_selected,False,0.05,0.0,True,0.2985139280765191,repair,0.22587191358024694,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.04413677084635825,"('repeat_cap',)",1,repair_selected,0.3130691025188375
oat-fatigue_strength-0p7500,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-0p7500/seed-sweep-20260805T193443Z/runs/calibration-oat-fatigue_strength-0p7500-seed-43-20260805T195332Z-8fec139d,improve_selected,True,0.05,0.0,True,0.2962023794050887,improvement,0.2027854938271605,Base policy is feasible; selected the exact maximin-improvement portfolio.,-0.029898931403684492,"('repeat_cap',)",1,improve_selected,0.3109911409956607
oat-fatigue_strength-0p7500,44,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-0p7500/seed-sweep-20260805T193443Z/runs/calibration-oat-fatigue_strength-0p7500-seed-44-20260805T201236Z-72dd492d,repair_selected,False,0.05,0.0,True,0.29276096362793325,repair,0.21989969135802467,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.04315057993014337,"('repeat_cap',)",1,repair_selected,0.30577479791996376
oat-fatigue_strength-0p7500,45,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-0p7500/seed-sweep-20260805T193443Z/runs/calibration-oat-fatigue_strength-0p7500-seed-45-20260805T202715Z-6000eeb7,repair_selected,False,0.05,0.0,True,0.2939286070597903,repair,0.25683641975308635,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.03773408964459812,"('repeat_cap',)",1,repair_selected,0.3137331706529291
oat-fatigue_strength-0p7500,46,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-0p7500/seed-sweep-20260805T193443Z/runs/calibration-oat-fatigue_strength-0p7500-seed-46-20260805T204840Z-b643bb3e,repair_selected,False,0.05,0.0,True,0.293002483007298,repair,0.21988425925925914,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,-0.036125545165068274,"('repeat_cap',)",1,repair_selected,0.3109411815143742
